1,believe,を信じる
3,expect,を予期する、と思う
6,remember,覚えている
7,worry,心配する
10,explain,説明する
15,provide,を供給する
17,grow,成長する
18,develop,を開発する
19,rise,上がる、昇る
20,raise,を上げる、（子供）を育てる
21,follow,次に続く、に従う
23,fill,を満たす
24,support,を支持する
26,face,に直面する、（危険などが）の身に迫る
27,touch,を感動させる
29,pay,（金）を支払う
31,save,（時間、金銭など）を節約する
32,happen,（事が）起こる、たまたまする
34,work,機能する
35,change,を変える
36,run,を経営する
37,turn,の向きを変える
38,return,戻る、帰る
39,stand,を我慢する
40,lie,横たわる、うそをつく
41,brain,脳
42,mind,心、精神
43,language,言語
49,experience,経験
50,result,結果
55,sense,感覚
56,way,方法、道
59,condition,状態、状況
60,position,（所定の）位置、場所、立場
62,nature,自然
64,rule,規則
68,sound,音
69,form,形状、（記入）用紙
70,case,場合
72,age,年齢
73,care,世話
74,risk,危険（性）
75,human,人間の
76,free,自由な
77,sure,確信して
79,main,主要な
82,clear,明らかな
86,close,（ごく）近い
88,general,一般的な
93,unique,特有の
95,therefore,したがって、その結果
96,thus,したがって
97,moreover,そのうえ、さらに
98,furthermore,そのうえ
99,besides,そのうえ
102,note,注意する、注目する
103,discover,を発見する
108,order,を注文する
127,reach,に到着する
129,receive,を受け取る
131,lead,を導く
132,win,勝つ
133,lose,を失う
134,fail,できない
135,miss,に乗り遅れる
136,lack,に欠けている、が不足している
141,wear,を身に着けている
144,author,著者
145,professor,教授
146,sentence,文、（宣告された）刑
147,passage,（文章の）一節
148,message,伝言、メッセージ
157,government,政府
159,education,教育
165,customer,顧客
168,rate,比率
169,chance,見込み
173,effort,努力
176,amount,金額
177,scientific,科学の
179,social,社会の
182,expensive,高価な
184,normal,普通の
196,rather,むしろ、かなり
197,instead,その代わりに
198,otherwise,そうでなければ、それ以外は
199,somehow,どうにかして
205,wish,と思う
220,serve,役に立つ
226,protect,を保護する
227,pick,を選び取る、を摘む
228,fit,ピッタリ合う、うまく合う
230,enter,に入る
241,act,行動する
244,variety,多様（性）
245,degree,程度
247,standard,水準、基準
251,rest,残り、息
252,purpose,目的
254,factor,要因、要素
255,shape,形、体調
261,ground,地上
263,disease,病気
266,death,死
267,fear,恐怖（心）
270,movement,（政治的な）運動
272,climate,（長期的な）気候
273,temperature,体温
275,population,人口
276,generation,世代
277,present,出席している、現在の
282,serious,真剣な
283,careful,注意深い
284,responsible,責任がある
286,afraid,恐れて
289,whole,全体の
290,low,低い
291,huge,巨大な
293,central,中心的な
294,safe,安全な
295,wild,野生の
297,unfortunately,残念なことに
298,seemingly,見たところ
299,afterward,後で
300,altogether,完全に
302,guess,と思う
307,reply,返事を出す
312,join,（会、団体、人）に加わる
315,attack,を襲う、攻撃する
319,marry,と結婚する
326,taste,～の味がする
327,smell,～のにおいがする
331,separate,を分離する
336,disappear,姿を消す
342,citizen,国民
343,career,経歴
345,billion,10億
349,scale,規模
353,diet,（日常の）食事
356,moment,瞬間
358,stage,（発達、変化の）段階
371,difficulty,困難、苦労
372,trouble,困難
376,whatever,たとえ何を…しても、たとえ何が…であろうと
379,local,その土地の、地元の
381,smart,頭の良い
383,intellectual,知的な
386,private,個人的な
388,fair,公正な、(数量などが)かなりの
393,terrible,ひどい
395,direct,直接の
396,nearly,もう少しで
397,merely,単に
398,seldom,めったに…ない
399,lately,最近
400,apart,（空間、時間的に）離れて
402,promise,を約束する
414,gather,を集める、拾い集める
417,score,（試合、テストで）（点）をとる
422,graduate,卒業する
425,mix,を混ぜる
426,fix,を修理する
429,invent,を発明する
453,birth,出産
457,scene,場面
461,series,連続
463,background,（景色、事件などの）背景
466,volunteer,ボランティア
467,staff,スタッフ、職員
469,labor,労働
472,fun,楽しみ、おもしろいこと（人）
473,crowd,群衆
475,poverty,貧困
479,complicated,複雑な
481,alternative,代替の
484,primary,最も重要な
488,commercial,商業的な、営利的な
492,former,元の
494,straight,まっすぐな
495,regular,定期的な
498,unlike,～と違って
513,invite,を招待する
517,belong,所属している、ものである
531,hurt,を痛める
535,press,を押す
536,burn,を燃やす
539,borrow,を（無料で）借りる
540,steal,を盗む
541,escape,逃れる、脱出する、を免れる
542,neighbor,隣人、近所の人
543,household,世帯
545,vehicle,車、乗り物
546,wheel,（自動車の）ハンドル
547,delay,遅れ
551,electricity,電気
552,cancer,癌
555,flood,洪水
556,earthquake,地震
564,talent,才能
566,scholar,（主に人文系の）学者
567,tradition,伝統
568,literature,文学
575,vision,（将来の）展望
578,bilingual,バイリンガルの，2言語を話す
582,amazing,驚くほどの
583,calm,冷静な
584,quiet,静かな
585,senior,高齢者の、（地位などが）上級の
586,elderly,年配の
589,tough,困難な
590,rapid,急速な
594,broad,広範囲な
596,tiny,とても小さな
599,nearby,すぐ近くの
600,distant,遠い
