列1,列2,列3
1,as a result,結果として
2,however,しかしながら，どんなに～でも
3,environment,環境
4,reduce,を減らす，縮小する
5,instead,代わりに，その代わり
6,in order to,～するために
7,vehicle,乗り物，車
8,recommend,を推薦する，を勧める
9,improve,を改善する，改良する
10,recently,最近，このごろ
11,customer,顧客，お客様
12,discover,を発見する，見つける
13,common,共通の，共同の
14,in particular,特に，とりわけ
15,disturb,を阻害する，(人の)邪魔をする
16,moreover,さらに，その上
17,not only A but also B,AだけでなくBもまた
18,a number of,たくさんの
19,be likely to,する可能性が高い，しそうになる
20,benefit,利益／に利益をもたらす
21,deal with,に対処する
22,solution,解決法，解明
23,inform,情報を与える，に知らせる
24,disease,病気，疾患
25,therefore,それゆえ，だから
26,unfortunately,残念なことに，不幸にも
27,device,装置，仕掛け
28,attractive,魅力的な，興味をそそる
29,climate,気候
30,end up,最終的に，することになる
31,evidence,証拠
32,estimate,を推定する，評価する
33,argue,だと主張する，感情的に論じる
34,according to,によると
35,meanwhile,一方で，他方で
36,entirely,完全に，全く
37,publish,を出版する，発行する
38,melt,溶ける，を溶かす
39,expense,費用，出費，犠牲
40,contain,を含む，が入っている
41,similar,似ている，類似の
42,government,政府，行政府，内閣
43,modern,現代的な，現代の
44,million,100万
45,scientist,科学者
46,pollution,汚染，汚れ
47,foundation,土台，根拠，設立
48,remove,を取り除く，を除去する
49,compare,を比較する，をたとえる
50,replace,を取り換える，を交換する
51,lead to,に導く，～につながる
52,furthermore,さらに，その上
53,result in,結果として，結果～になる
54,profit,利益，もうけ
55,remain,のままである，残る
56,organize,を組織する，を編成する
57,suffer from,で苦しむ，悩まされる
58,emphasize,を強調する，力説する
59,more and more,ますます多くの，更に
60,experiment,実験，試み
61,consume,を消費する，消耗する
62,development,発展，発達，開発
63,detect,を検出する，を感知する
64,extremely,極端に，過度に
65,employment,雇用
66,by chance,偶然に，たまたま
67,unlike,と異なって，とは違って
68,properly,適切に
69,repair,を修理する，修繕する
70,in addition,追加として，さらに
71,complicated,複雑な
72,until,までに，まで
73,on the other hand,一方で，他方で
74,arrest,を逮捕する，捕まえる
75,betray,を裏切る，をだます
76,survey,調査／を見渡す
77,affect,に影響を与える
78,consider,について考える，だと見なす
79,portable,持ち運べる，携帯用の
80,remind,に思い出させる，に気付かせる
81,ability,能力，力量
