word,meaning,example,translation
conquest,（武力による）征服,"The Roman conquest of the area, which took many years, changed its culture.",その地域のローマによる征服は何年もかかり、その文化を変えた。
denial,否定、否認,His denial that he was involved in the crime was not believed.,彼がその犯罪に関与したという否定は、信じられなかった。
domain,（関心・学問などの）領域、分野 領地、領土,Artificial intelligence is a domain in which he has great expertise.,人工知能は、彼が素晴らしい専門知識を持つ分野である。
simulate,〜の模擬実験をする、〜をシミュレーションする,We use computers to simulate how new buildings withstand earthquakes.,私たちは新しい建物が地震にどう耐えるかをシミュレーションするためにコンピュータを使う。
disarm,〜から武器を取り上げる,The international community tried to persuade the country to disarm its nuclear weapons.,国際社会はその国に核兵器を武装解除するよう説得しようとした。
concise,（文章・説明などが）簡潔な,Your report should be more concise and easier for everyone to understand.,あなたのレポートは、もっと簡潔で誰にでも理解しやすいものであるべきだ。
mortal,致命的な、命にかかわる 死ぬべき運命の,Ancient philosophers wrote about the fact that all human beings are mortal.,古代の哲学者たちは、すべての人間は死ぬべき運命にあるという事実について書いた。
sequel,続き、（映画・本などの）続編,The long-awaited sequel to the popular movie will be released next summer.,その人気映画の待望の続編が、来年の夏に公開される予定だ。
stumble,つまずく、よろける,"Walking on the icy path, I suddenly stumbled and almost fell.",凍った道を歩いていて、私は突然つまずき、もう少しで転ぶところだった。
gloomy,暗い、陰気な,It was a gloomy day with dark clouds covering the entire sky.,空全体を黒い雲が覆う、陰気な一日だった。
convert,〜を変える、変換する,The new system is designed to convert sunlight directly into electrical energy.,その新しいシステムは、太陽光を直接電気エネルギーに変換するように設計されている。
contract,契約、契約書；動 （〜を）契約する,"You should carefully read the contract, which explains all the terms.",すべての条件が説明されている契約書を、あなたは注意深く読むべきだ。
assign,（仕事・部屋などを）（人）に割り当てる （人）を（部署などに）任命する、配属する,Each student was assigned a different topic for the final presentation.,各生徒には、最終発表のために異なるトピックが割り当てられた。
harsh,（気候・状況などが）厳しい、過酷な （行為などが）無情な,The winter was so harsh that many animals could not survive.,その冬は非常に厳しかったので、多くの動物が生き残れなかった。
procedure,手続き、方法 治療、医療行為,"If you want to apply, you must follow the correct online procedure.",もし申し込みたいのなら、あなたは正しいオンライン上の手続きに従わなければならない。
counter,〜に対抗する、反撃する；名 （店・銀行などの）カウンター,The government took new measures to counter the effects of climate change.,政府は気候変動の影響に対抗するため、新たな対策を講じた。
pose,（問題・脅威など）を引き起こす （疑問・要求など）を提起する,Plastic waste poses a serious threat that we all must address.,プラスチックごみは、我々全員が対処すべき深刻な脅威を引き起こしている。
barely,かろうじて ほとんど〜ない,I had barely finished my homework when my friend called me.,友達が電話してきたとき、私はかろうじて宿題を終えたところだった。
superior,すぐれている、勝っている 上質の,This new material is far superior to traditional ones in terms of durability.,この新素材は、耐久性の点で従来のものよりはるかに優れている。
supplement,〜を補う、補足する；名 補足 栄養補助食品；形 補足の、追加の,He works a part-time job to supplement his income from his main profession.,彼は本業からの収入を補うために、アルバイトをしている。
institution,機関、組織,The university is an educational institution which has a long and proud history.,その大学は、長く誇り高い歴史を持つ教育機関である。
heritage,遺産、伝統,It is important to preserve our unique cultural heritage for future generations.,私たちの独自の文化遺産を未来の世代のために保存することは重要だ。
boom,（人口の）急増；（物価の）高騰,"The city experienced an economic boom, leading to many new construction projects.",その都市は好景気を経験し、多くの新しい建設プロジェクトにつながった。
relieve,〜を和らげる、緩和する,Taking a warm bath is a good way to relieve stress after work.,温かいお風呂に入ることは、仕事の後のストレスを和らげる良い方法だ。
tuition,授業料,Private university tuition is generally much higher than that of public universities.,私立大学の授業料は、一般的に国公立大学のそれよりもずっと高い。
invasion,侵入、侵略,The invasion of alien species has damaged the local ecosystem.,外来種の侵入が、地域の生態系に損害を与えてきました。
interfere,妨げる、邪魔をする,Please do not interfere with my work when I'm trying to concentrate.,私が集中しようとしているときは、仕事の邪魔をしないでください。
dispute,〜に異議を唱える 〜を議論する；名 紛争、論争,The scientist disputed the theory that his colleague had proposed.,その科学者は、同僚が提唱した理論に異議を唱えました。
launch,（新製品など）を売り出す （組織的な活動など）を開始する （ロケット）を打ち上げる,The company is going to launch a new smartphone next month.,その会社は来月、新しいスマートフォンを発売する予定です。
preference,好み,I have a preference for tea rather than coffee in the morning.,私は朝、コーヒーよりも紅茶の方を好みます。
recall,〜を思い出す、覚えている,"I can recall seeing him somewhere, but I can't remember his name.",彼にどこかで会ったのは思い出せますが、名前が思い出せません。
treaty,条約、協定,A new peace treaty was signed by the two countries last year.,新しい平和条約が昨年、その2国間によって署名されました。
immediate,差し迫った、緊急の 即座の、迅速な 直接の、隣接する,The problem requires an immediate solution before it gets worse.,その問題は、悪化する前に即座の解決策を必要とします。
sacrifice,〜を犠牲にする,She had to sacrifice her free time to achieve her goal.,彼女は目標を達成するために、自由な時間を犠牲にしなければなりませんでした。
interrupt,〜の邪魔をする、〜を遮る 〜を中断させる,"Sorry to interrupt you, but there is an important phone call.",お話の途中すみませんが、重要な電話です。
authentic,本物の、正統な （情報などが）事実に基づく,I want to find a restaurant where I can eat authentic Italian food.,本物のイタリア料理が食べられるレストランを見つけたいです。
originate,起こる、生じる,It is said that this traditional festival originated in the Edo period.,この伝統的な祭りは江戸時代に始まったと言われています。
starve,飢える、餓死する,"Without international aid, many more people would starve to death.",国際的な援助がなければ、さらに多くの人々が餓死するでしょう。
commission,報酬、歩合（給）；手数料 （芸術家などに対する）仕事の依頼 委員会；動 〜を委託する,The real estate agent charged a 3% commission on the sale.,その不動産業者は、売上に対して3%の手数料を請求しました。
ruin,〜を破滅させる、台無しにする；名 遺跡、廃墟 破産状態、破滅,The heavy rain has completely ruined our plans for the picnic.,大雨が私たちのピクニックの計画を完全に台無しにしてしまいました。
illustrate,（図・絵などで）〜を説明する,The teacher used a diagram to illustrate the scientific process.,先生は科学的な過程を説明するために図を用いました。
primitive,原始の、未開の 単純な、古くさい,Primitive tools made of stone were found in the ancient ruins.,石で作られた原始的な道具がその古代遺跡で発見されました。
tremendous,（数量・程度などが）非常に大きい 素晴らしい,The new technology has had a tremendous impact on our lives.,その新技術は私たちの生活に非常に大きな影響を与えてきました。
carve,〜を彫る、彫刻する,The artist carved a beautiful bird out of a single piece of wood.,その芸術家は一枚の木から美しい鳥を彫り出しました。
decent,満足できる、まずまずの （人・振る舞いなどが）上品な、礼儀正しい,He is looking for a decent job with a reasonable salary.,彼は妥当な給料で、まずまずの仕事を探しています。
trait,（性格・身体上の）特徴,Honesty is a personality trait that is highly valued in our society.,誠実さは、私たちの社会で高く評価される性格的特徴です。
outsource,〜を外部委託する,Many companies now outsource some of their business operations to other countries.,多くの企業が今、業務の一部を他国に外部委託しています。
compound,化合物；形 複合的な,Water is a chemical compound consisting of hydrogen and oxygen.,水は水素と酸素から成る化合物です。
durable,耐久性のある、長持ちする,These new materials are much more durable than the old ones.,これらの新しい素材は、古いものよりもずっと耐久性があります。
degrade,〜の価値［品位］を低下させる,Pollution can degrade the quality of soil and water resources.,汚染は土壌や水資源の質を低下させる可能性があります。
medieval,中世の；中世風の,We visited a medieval castle which was built in the 12th century.,私たちは12世紀に建てられた中世の城を訪れた。
steep,急勾配の、険しい （値段などが）法外な,The path up the mountain was too steep for us to climb.,その山道は私たちが登るにはあまりにも急だった。
displace,（人・動物など）を立ち退かせる、追い出す,Many people were displaced by the flood caused by the heavy rain.,多くの人々が、大雨によって引き起こされた洪水で住む場所を追われた。
enrich,（土地）を肥沃にする 〜を裕福にする,Traveling to foreign countries can greatly enrich your life and perspective.,外国を旅することは、あなたの人生と視野を大いに豊かにすることができる。
chore,（日常的な）家事、雑用,My daily chore is to walk the dog every morning before school.,私の毎日の日課は、学校の前に毎朝犬の散歩をすることです。
rebellion,反乱,The rebellion against the government was suppressed within a few days.,政府に対する反乱は、数日のうちに鎮圧された。
replicate,（実験など）を再現する 〜を複製する,It is difficult for other scientists to replicate his experiment's results.,他の科学者が彼の実験結果を再現することは難しい。
consent,同意、承諾,You cannot use this photo without the written consent of the photographer.,写真家の書面による同意なしに、この写真を使用することはできません。
identical,まったく同じの、そっくりそのままの,"Although they are twins, their personalities are not identical at all.",彼らは双子だが、性格は全く同じではない。
embrace,（考え・提案など）を受け入れる、採用する,We should embrace new technologies to improve our quality of life.,私たちは生活の質を向上させるために、新しい技術を受け入れるべきだ。
genuine,本物の,Experts confirmed that the painting was a genuine work by Picasso.,専門家たちは、その絵画がピカソの本物の作品であることを確認した。
stray,道に迷う、はぐれる （話・考えなどが）横道にそれる,Let's not stray from the main topic of our discussion today.,今日の議論の主要な議題から、話がそれないようにしましょう。
retrieve,〜を取り戻す、回収する （情報）を検索する,I need to retrieve the file I accidentally deleted from my computer.,私はコンピューターから誤って削除してしまったファイルを検索する必要がある。
draft,下書き、草稿,Please submit the first draft of your essay by next Friday.,来週の金曜日までに、エッセイの最初の草稿を提出してください。
bachelor,（大学を卒業した）学士、学士号 独身［未婚］男性,She earned a bachelor's degree in economics from a famous university.,彼女は有名な大学で経済学の学士号を取得した。
downfall,没落、破滅,The company's arrogance was the primary cause of its eventual downfall.,その会社の傲慢さが、最終的な没落の主な原因だった。
crucial,非常に重大な、決定的な,It is crucial to take immediate action to protect endangered species.,絶滅危惧種を保護するため、すぐに行動を起こすことが極めて重要だ。
bump,（道路の）凸凹 隆起；動 （ドンと）ぶつかる,"Driving on this road, I felt a large bump under the car.",この道を運転していると、車の下で大きな揺れを感じた。
surrender,降伏する；名 降伏,The soldiers were forced to surrender after running out of supplies.,兵士たちは補給品が尽きた後、降伏せざるを得なかった。
enclose,〜を同封する （土地・建物など）を囲い込む,I have enclosed a copy of the receipt for your reference.,ご参考までに、領収書のコピーを同封いたしました。
graphic,（描写・記述が）生々しい、露骨な；名 画像、図表,The news report contained graphic images of the accident scene.,そのニュース報道には、事故現場の生々しい映像が含まれていた。
shield,防御物、遮蔽物；動 〜を覆う、遮蔽する,She used her hand to shield her eyes from the bright sun.,彼女はまぶしい太陽から目を守るために手を使った。
ritual,（宗教的）儀式、祭式,The ancient ritual has been passed down through many generations.,その古代の儀式は、多くの世代を通じて受け継がれてきた。
discriminate,差別する,It is illegal to discriminate against people based on their race.,人種に基づいて人々を差別することは、法律で禁じられている。
suite,ひと続きの部屋、スイートルーム,"For our anniversary, we stayed in a hotel suite with an ocean view.",私たちの記念日に、海の見えるホテルのスイートルームに泊まった。
steer,〜を操縦する、運転する 〜を導く,Teachers should steer students in the right direction.,教師は生徒を正しい方向に導くべきだ。
equivalent,（数量などが）同等の、相当する；名 同等のもの,The result was equivalent to what we had expected.,その結果は私たちが期待していたものと同等だった。
seal,（手紙・容器などの）封印紙、封ろう；動 〜を密封する,Please seal the container tightly to keep the food fresh.,食品を新鮮に保つために、容器をしっかりと密封してください。
trace,〜の跡をたどる；名 跡,Scientists have traced the source of the ancient river.,科学者たちはその古代の川の源流をたどった。
fraud,詐欺、詐欺行為,He was arrested for his involvement in the online fraud.,彼はオンライン詐欺に関与したとして逮捕された。
pioneer,〜を開拓する、創始する；名 先駆者、草分け,The company pioneered a new method of recycling plastic.,その会社はプラスチックをリサイクルする新しい方法を開拓した。
vanish,（突然）消える、姿を消す,My hopes of winning the game vanished completely.,試合に勝つという私の望みは完全に消え去った。
ethnic,民族の、人種の,The city is famous for its diverse ethnic communities.,その都市は多様な民族コミュニティで有名です。
hurdle,障害、困難 障害物、ハードル,The biggest hurdle to overcome is lack of funding.,克服すべき最大の障害は資金不足です。
depart,出発する,The train is scheduled to depart from platform five.,その電車は5番線から出発する予定です。
ripen,（果物などが）熟す、実る,These tomatoes will be sweet when they fully ripen.,これらのトマトは完全に熟すと甘くなります。
brisk,（動作が）きびきびした （商売が）繁盛した、活況の,Taking a brisk walk every morning is good for your health.,毎朝きびきびと歩くことは健康に良い。
slump,低迷、不振 （急激な）下落、落ち込み；動 （価格などが）急落する,The company has been in a slump for the past few years.,その会社は過去数年間、不振に陥っている。
venture,ベンチャー（事業）,Starting a new business is always a risky venture.,新しい事業を始めることは、常にリスクの多いベンチャーだ。
furious,激怒した,She was furious at him for breaking his promise.,彼女は彼が約束を破ったことに激怒した。
impede,（進行・発展など）を妨げる、遅らせる,Progress was impeded by a lack of necessary resources.,必要な資源の不足によって進歩は妨げられた。
transition,移行、推移,The transition from fossil fuels to renewable energy is crucial.,化石燃料から再生可能エネルギーへの移行は極めて重要だ。
subjective,主観的な,Beauty is a subjective concept that varies among individuals.,美は個人によって異なる主観的な概念である。
insult,侮辱；動 〜を侮辱する,He took her comment as a personal insult.,彼は彼女のコメントを個人への侮辱と受け取った。
nourish,（食物・栄養分を与えて）〜を養う、育てる,We need a balanced diet to nourish our bodies properly.,私たちの体を適切に養うためには、バランスの取れた食事が必要だ。
impose,（税・罰金など）を課す、科す,A new tax was imposed on imported goods.,輸入品に新しい税金が課された。
curse,呪い（の言葉）,The old castle is said to have a curse on it.,その古い城には呪いがかけられていると言われている。
blurry,ぼやけた、おぼろげな,The picture is too blurry to see the details clearly.,その写真はぼやけすぎていて、細部がはっきりと見えない。
successor,後任者、後継者,His successor was chosen from within the company.,彼の後任者は社内から選ばれた。
renovate,〜を改修する,The old library will be renovated next year.,その古い図書館は来年改修される予定だ。
flaw,欠点、欠陥,The engineer found a serious flaw in the original design.,その技術者は、元の設計に深刻な欠陥を見つけた。
parallel,平行した、並列の 類似した,There are some parallel points between the two different cultures.,その2つの異なる文化の間には、いくつかの類似した点がある。
maternity,妊婦の；名 母性,The government is trying to improve the maternity leave system.,政府は産休制度を改善しようと試みている。
anthem,賛歌、祝いの歌,Everyone stood up when the national anthem was played.,国歌が演奏されたとき、全員が立ち上がった。
deprive,（人・物）から（物・権利など）を奪う,The disaster deprived many people of their homes and jobs.,その災害は多くの人々から家や仕事を奪った。
insane,正気でない、狂気の,It would be insane to go swimming in this cold weather.,この寒い天候で泳ぎに行くなんて正気の沙汰ではないだろう。
asset,（会社・個人などの）資産、財産,Her ability to speak three languages is a great asset.,3か国語を話す彼女の能力は、大きな財産だ。
obscure,不明瞭な、ぼやけた,The reason for his decision remains obscure to everyone.,彼が決定を下した理由は、誰にとっても不明瞭なままだ。
disgust,（人）に嫌悪感を起こさせる；名 嫌悪感,The smell coming from the garbage can disgusted me.,ゴミ箱から来るその臭いは、私に嫌悪感を抱かせた。
intimate,親しい、親密な,They have been intimate friends since they were children.,彼らは子供のころから親しい友人だ。
scratch,〜を引っかく、〜に傷をつける；名 引っかき傷,Be careful not to scratch the new wooden table.,その新しい木製のテーブルを引っかかないように気をつけて。
legacy,（過去からの）名残、遺産 （遺言による）遺産,The scientist left a great legacy for future generations.,その科学者は将来の世代に偉大な遺産を残した。
summit,（山の）頂上、頂 首脳会談,The world leaders will meet at the G7 summit next week.,世界の首脳たちは来週、G7首脳会談で会合する。
vibrant,活気に満ちた 振動する,Tokyo is a vibrant city with a lot of energy.,東京は多くのエネルギーに満ちた活気のある都市だ。
exclaim,突然大声で言う、叫ぶ,"What a beautiful view!" she exclaimed from the top.,「なんて美しい景色なの！」と彼女は頂上から叫んだ。
sprain,〜をねんざする；名 ねんざ,I fell down the stairs and sprained my ankle.,私は階段から落ちて足首をねんざした。
lump,しこり、腫瘍 塊,You should see a doctor if you find a lump.,もししこりを見つけたら、医者に診てもらうべきだ。
plentiful,（十二分なほど）たくさんの、豊富な,Fish are plentiful in this part of the river.,川のこの辺りでは魚が豊富だ。
inhale,（空気・煙を）吸い込む,It is dangerous to inhale too much of that chemical.,その化学物質を吸い込みすぎるのは危険だ。
muddy,泥の、泥だらけの,"Don't bring your muddy shoes into the house, please.",どうか泥だらけの靴を家の中に持ち込まないでください。
devise,〜を考え出す、考案する,We need to devise a plan to increase our sales.,私たちは売上を伸ばすための計画を考案する必要がある。
incidence,（病気などの）発生,The incidence of this disease is higher among older people.,この病気の発生率は、高齢者の間でより高い。
impassable,（道が）通り抜けできない、通行不能の,The mountain road is impassable because of the heavy snow.,その山道は大雪のため通行不能だ。
nosy,詮索好きな、おせっかいな,My nosy neighbor always wants to know what I am doing.,私の詮索好きな隣人は、いつも私が何をしているか知りたがる。
erect,〜を建設する；形 直立した,A new library was erected where the old building stood.,古い建物が立っていた場所に、新しい図書館が建設された。
damp,湿った、じめじめした,My clothes are still damp because it was raining this morning.,今朝雨が降っていたので、私の服はまだ湿っている。
empower,（人）に権限［裁量］を与える,This program is designed to empower women in developing countries.,このプログラムは発展途上国の女性に力を与えるよう設計されている。
confession,白状、自白,The suspect finally made a full confession to the police.,容疑者はついに警察に全てを自白した。
spectacle,光景、眺め,The sunrise over the mountains was a truly beautiful spectacle.,山々から昇る朝日は、本当に美しい光景だった。
attentive,注意深い、油断しない,You should be more attentive during the chemistry experiment.,化学の実験中はもっと注意深くあるべきだ。
conviction,有罪判決 信念、確信,She spoke with a strong conviction that her plan would succeed.,彼女は自分の計画が成功するという強い確信を持って話した。
vacuum,真空,Sound waves cannot travel through the vacuum of space.,音波は宇宙の真空中を伝わることはできない。
rally,（大規模な）集会,A political rally was held in front of the city hall.,市庁舎の前で政治集会が開かれた。
snatch,〜をひったくる、素早く手に入れる,A bird flew down and tried to snatch the bread from my hand.,鳥が舞い降りてきて、私の手からパンをひったくろうとした。
torch,たいまつ、トーチ,The runner proudly carried the Olympic torch into the stadium.,その走者は誇らしげにオリンピックのトーチをスタジアムに運んだ。
fussy,気難しい、（つまらないことに）騒ぎ立てる,He is very fussy about the kind of coffee he drinks.,彼は飲むコーヒーの種類についてとても気難しい。
emigration,（他国などへの）移住,Economic hardship was a major cause of emigration from the country.,経済的困難がその国からの移住の主な原因だった。
diagonally,対角線の方向に、斜めに,She cut the sandwich diagonally to make two triangles.,彼女はサンドイッチを斜めに切って、2つの三角形にした。
salute,〜に敬礼する,The captain ordered the new soldiers to salute the flag.,隊長は新兵たちに、国旗に敬礼するよう命じた。
recollect,〜を（努力して）思い出す、回想する,I can't recollect where I put my keys yesterday.,昨日どこに鍵を置いたか思い出せない。
hostage,人質,The bank robbers took three employees as a hostage.,銀行強盗は3人の従業員を人質にとった。
