word,meaning
cooperative,協力的な、協同の
cater,要求を満たす （宴会などの）ケータリングをする
ruthless,（人・行為などが）冷酷な、無慈悲な
induce,～を引き起こす、誘発する （人）に勧めて～させる
disregard,～を無視する、軽視する
recess,休憩、休み時間 閉会
wholesome,（食べ物・運動などが）健康によい （娯楽などが）健全な
communal,共同の、共有の 自治体の、共同体の
freight,運送貨物 貨物輸送
irreversible,元に戻せない、不可逆の
variable,変わりやすい、変動する
formalize,～を正式なものとする
proportion,割合、比率
sensation,大評判（の人・もの） 感覚、感じ
terminate,～を終わらせる、（契約など）を打ち切る
exploit,（利益を得るために）～を利用する （資源など）を開発する；～を搾取する
antiquity,古代の遺物［遺跡、美術品］ 古代
centralize,（権力など）を集中させる
sympathize,同情する、共感する
anonymous,匿名の
influential,影響力の大きい
mumble,（～を）つぶやく、ぶつぶつ言う
partial,部分的な 不公平な
sanitation,（公衆）衛生
hail,あられ、ひょう
manipulate,（人・世論・価格など）を操作する、巧みに仕向ける
profound,（影響などが）深刻な、重大な
perception,理解、認識 知覚、認知
thesis,（学位）論文
pastime,娯楽、気晴らし
swamp,沼地、湿地
flock,（ヒツジ・ヤギ・鳥などの）群れ
predate,（時間的に）～よりも先行する、前に起こる
phonetic,音声（学）の、発音に関する
creditor,債権者、貸し主
facade,うわべ、表面 （ホテルなどの建物の）正面
lofty,高潔な、深遠な 非常に高い、そびえる
rite,儀式
devious,（人・行為などが）悪質な、狡猾な
deadlock,（交渉などの）行き詰まり、こう着状態
incessant,絶え間のない、ひっきりなしの
beckon,（人）に手招きする、合図する
configuration,（部分・要素の）配置、配列
subtract,～を引く、減じる
quaint,（古風で）趣のある
downplay,～を（実際より）軽く扱う、過小評価する
erratic,一定しない、不規則な
inanimate,生命のない、無生物の
inheritance,相続、遺産 遺伝
upcoming,間近に迫った、来たるべき
inclusive,含めて、込みの
breakout,脱走、脱獄 （病気などの）大発生
envious,うらやましく思っている
ominous,不吉な
slam,（ドア・窓など）をバタン［ピシャリ］と閉める ～を酷評する
deem,～を考える、見なす
solitude,孤独、一人きりでいること
garment,衣服
pinch,～をつまむ、つねる
credibility,信頼性、信用
bow,お辞儀をする、頭を下げる
revitalize,～に新しい活力を与える、～を活性化する
utterance,言葉、発言
conscience,良心、善悪の判断力
discord,不一致、不調和
synthesize,～を総合する ～を合成する
juvenile,青少年の
droop,（だらりと）垂れる、下向きになる
numb,まひした、しびれた ぼう然とした
extinguish,（火・光など）を消す
scam,詐欺、ぺてん
backlog,（仕事などの大量の）やり残し、未処理分
swap,～を交換する
dissolve,（固体）を（液体の中に）溶かす；（固体が液体に）溶ける （組織など）を解体する、解散させる
discern,（違いなど）を判別する、識別する （目・心で）～を見つける、認める、気づく
rebound,（価格・価値などが）再び上昇する、回復する （ボールなどが）はね返る
boundless,際限のない、無限の
meditate,瞑想する 熟考する
repel,～を追い払う、撃退する
shove,～を（力任せに）押す、押しのける
fumigate,（部屋など）を燻蒸消毒する
majestic,（外観・光景などが）雄大な、荘厳な
upscale,高所得者（向け）の、高級な
sly,ずるい、狡猾な
subsistence,必要最低限の生活［生計］
preliminary,前置き、下準備
stout,頑丈な、がっしりした 太った、かっぷくのいい
occupancy,（土地・家などの）占有、居住
triumph,（大）勝利
ammunition,弾薬、弾丸
resilient,回復力がある、立ち直りが早い
sprout,発芽する 急成長する
ensue,続いて起こる
showdown,（決着をつけるための）対決、天王山
dialect,方言
setback,（進歩・発展の）障害、妨げ
caption,（写真などの）説明文、キャプション
amnesty,（政治犯などに対する）恩赦、特赦
ferocious,（人・動物が）凶暴な、どう猛な （風雨・感情などが）激しい
swerve,（急に）向きを変える、ハンドルを切る
glimpse,ちらりと見えること、ひと目
clause,（条約・契約書などの）条項、箇条
sphere,球、球体 範囲、領域
constellation,星座
haunt,～にとりつく、化けて出る （場所）に足しげく通う
delirious,精神が錯乱した
blissful,至福の
eternity,永遠、永久
abstract,抽象的な、概念上の
pretense,ふり、見せかけ
admonish,（人）を叱る、諭す
incriminate,（人）に罪を負わせる、（人）を有罪にする
vicinity,付近、近辺
enrage,～を激怒させる
replenish,～を補充する
chronicle,～を年代記［年代順］に記録する
underfed,栄養不足の
falsify,（書類など）を偽造する、改ざんする
eerie,不気味な、薄気味悪い
static,停滞した、不活発な 静止した、動きのない
envoy,使節、使者
immovable,動かせない、固定された
amplify,（信号・音など）を増幅する ～を拡大する
flare,（ぱっと燃え上がる）炎
gratitude,感謝、感謝の気持ち
upturn,上昇、好転
gauge,～を慎重に判断する （計器で）～を正確に測る
disperse,（群衆など）を追い散らす；（群衆が）分散する
bundle,束、包み
invincible,（人・軍などが）無敵の （思想・態度などが）不屈の
comprise,～を構成する ～から成る、～を含む
probe,調査 探査機
paralyze,～をまひさせる ～をすくませる、無力にする
annotation,注釈
tactical,戦術の
menace,脅威、危険（なもの［人］）
detachment,超然；無関心 分離
gaudy,派手な、けばけばしい
agonize,苦悩する、苦闘する
fracture,（骨・金属など）を折る、～に亀裂を生じさせる
corrode,（金属など）を腐食させる；（金属などが）腐食する
duplicate,～を複製する
holistic,全体論の、全体（論）的な
dilution,希釈
posture,（体の）姿勢 （精神的な）姿勢、態度
rampage,凶暴に暴れること
stunt,（成長・発達など）を妨げる
perspire,汗をかく、発汗する
sublime,荘厳な、雄大な
renounce,（権利・所有物など）を放棄する
referral,（専門医などへの）委託、紹介
admiration,称賛、感嘆
constraint,制約、制限
cult,カルト、カルト教団 流行、熱中
mundane,平凡な、つまらない
unravel,（難問など）を解決する、（謎など）を解く （より糸・編んだものなど）をほどく
ecstatic,興奮した、有頂天になった
inept,能力に欠ける、不器用な
hypothetical,仮定の
empathy,共感、感情移入
imposing,（建物・人などが）堂々とした、立派な
incisive,（言葉・批評などが）鋭い、的確な
brag,自慢する
entice,～を誘惑する
disdain,軽蔑
congregate,集まる、集合する
improvise,（～を）即興で作る
instrumental,非常に重要な役割を果たす、役に立つ （音楽が）楽器だけの
transient,放浪者、流れ者
subordinate,下位の人、部下
peculiar,奇妙な、普通でない 特有の
bounce,（ボールなどが）跳ね返る、（音などが）反響する
protocol,礼儀作法 条約議定書
typify,～の典型となる
manuscript,（手書きの）原稿
alignment,整列
banish,（人）を追放する （考えなど）を追い払う
condemn,（人・行為）を非難する、とがめる
detonate,（爆弾など）を爆発させる
emulate,（尊敬する人・立派なもの）を見習う、まねる
additive,（食品）添加物
gravitate,（場所・ものなどに）引き寄せられる
