word,meaning,example,translation
depot,（名）貯蔵庫、倉庫,Emergency supplies are stored in a large depot near the city.,非常用物資は市の近くの大きな貯蔵庫に保管されています。
plural,（形）複数の,Our society has plural viewpoints on environmental protection.,私たちの社会には、環境保護に関する複数の視点があります。
forsake,（動）①（好きなことなど）をあきらめる、捨てる ②（人）を見捨てる、見放す,She had to forsake her hobbies to focus on her studies.,彼女は研究に集中するため、趣味をあきらめなければならなかった。
retrace,（動）〜を引き返す,"Realizing he was lost, the hiker had to retrace his steps.",道に迷ったことに気づき、そのハイカーは来た道を引き返さなければならなかった。
naive,（形）単純な、世間知らずの,It was naive of me to believe everything the salesperson said.,その販売員の言うことをすべて信じるとは、私は単純でした。
uptight,（形）いら立って、神経質になって,He gets very uptight before giving a presentation in front of others.,彼は人前でプレゼンテーションをする前、とても神経質になります。
ornament,（名）装飾品、装身具,This is a beautiful ornament which was made in the 19th century.,これは19世紀に作られた美しい装飾品です。
inhibit,（動）①（人）を抑える、抑制する ②（成長・進展など）を阻害する,A lack of confidence can inhibit a person's ability to succeed.,自信の欠如は、人の成功する能力を阻害することがあります。
smash,（動）①激突する ②粉々に壊れる,"The baseball smashed the window, breaking it into many pieces.",野球のボールが窓に激突し、粉々に割ってしまった。
modest,（形）①謙虚な ②（数量などが）控えめな、そこそこの,"Despite his great success, he has remained a very modest person.",大成功にもかかわらず、彼はとても謙虚な人物のままでした。
hardy,（形）（人・動物が）頑丈な、丈夫な,These desert plants are hardy enough to survive with little water.,これらの砂漠の植物は、少ない水で生き延びられるほどじゅうぶん丈夫だ。
entitle,（動）①（人）に資格［権利］を与える ②〜にタイトルをつける,This ticket entitles you to enter the museum for free.,このチケットは、あなたに無料で博物館に入る資格を与えます。
taint,（動）（水・空気など）を汚す、汚染する,"The river, tainted by industrial waste, is no longer safe for swimming.",工場排水で汚染されたその川は、もはや泳ぐのに安全ではない。
striking,（形）顕著な、著しい,There is a striking difference between the two proposed plans.,提案された2つの計画の間には、著しい違いがある。
indulgent,（形）甘やかす、寛大な,Being too indulgent with children is not always a good thing.,子供に対して甘やかしすぎることは、必ずしも良いことではない。
discreet,（形）①控えめな、目立たない ②用心深い、慎重な,He made a discreet inquiry about the job opening.,彼はその求人について、慎重に問い合わせをした。
incurable,（形）（病気などが）不治の、治せない,"If the disease were not incurable, many lives could be saved.",もしその病気が不治でなければ、多くの命が救われるだろうに。
complement,（動）〜を補う、補完する,The sauce was a perfect complement to the delicious steak.,そのソースは、美味しいステーキを完璧に引き立てるものだった。
unsound,（形）（心身が）不健全な、不健康な,The bridge was closed because its structure was judged to be unsound.,その橋は構造が不健全だと判断されたため、閉鎖された。
wield,（動）（権力・影響など）を行使する,The new manager is a person who wields considerable influence.,新しい部長は、かなりの影響力を行使する人物だ。
dislocate,（動）①〜を脱臼させる ②（制度・計画など）を混乱させる、狂わせる,The unexpected storm dislocated the entire transportation system.,予期せぬ嵐が、交通システム全体を混乱させた。
pledge,（動）〜を誓う,The government has pledged to support renewable energy sources.,政府は再生可能エネルギー源を支援することを誓った。
gargle,（動）うがいをする,It is a good habit to gargle when you get home.,家に帰ったらうがいをすることは、良い習慣です。
contempt,（名）軽蔑、軽視,He showed his contempt for the law by ignoring the warning.,彼は警告を無視することで、法に対する軽蔑を示した。
aggravate,（動）（問題・状況など）を悪化させる,Lack of sleep can aggravate the symptoms of a common cold.,睡眠不足は、普通の風邪の症状を悪化させることがある。
horrify,（動）〜をぞっとさせる,The news about the massive earthquake horrified everyone.,巨大地震のニュースは皆をぞっとさせた。
vulgar,（形）（言動などが）下品な、（人・振る舞いなどが）粗野な,His vulgar jokes made everyone in the room feel uncomfortable.,彼の下品な冗談は部屋にいた皆を不快にさせた。
cordial,（形）心からの、友好的な,We received a cordial welcome from our host family.,私たちはホストファミリーから心からの歓迎を受けた。
drift,（動）漂流する、漂う,The empty boat was seen drifting out to sea.,その空のボートが沖へ漂流していくのが見られた。
circuit,（名）回路,The engineer found a problem in the electrical circuit.,その技術者は電気回路に問題を発見した。
blueprint,（名）（建築・機械の）設計図、青写真,Here is the blueprint for the new museum we are planning.,こちらが私たちが計画している新しい博物館の設計図です。
vault,（動）跳び越える,The athlete vaulted over the high fence with great ease.,その選手は非常にたやすく高いフェンスを跳び越えた。
ratio,（名）比率、割合,The ratio of male to female employees is almost equal.,男性従業員と女性従業員の比率はほぼ同じです。
dismayed,（形）狼狽して、落胆して,She was dismayed by the unexpected results of the experiment.,彼女はその予期せぬ実験結果に落胆した。
trim,（動）〜を刈り込む、手入れする （形）（服装などが）きちんとした,My father taught me how to trim the bushes neatly.,父は私に植木をきれいに刈り込む方法を教えてくれた。
ignition,（名）点火、引火,"He turned the key in the ignition, but the engine wouldn't start.",彼はイグニッションキーを回したが、エンジンはかからなかった。
insight,（名）洞察力、識見,The study offers new insights into the causes of the disease.,その研究はその病気の原因に関する新たな洞察を与えてくれる。
dismantle,（動）（機械など）を分解する、解体する,The mechanic had to dismantle the engine to find the problem.,整備士は問題を見つけるためにエンジンを分解しなければならなかった。
indefinite,（形）①不定の、決まっていない ②不明瞭な,The project was postponed for an indefinite period of time.,そのプロジェクトは無期限に延期された。
cunning,（形）悪賢い、ずるい,He used a cunning plan to win the game.,彼はその試合に勝つためにずる賢い計画を用いた。
scorn,（動）（人・考えなど）を軽蔑する、ばかにする,He scorned the idea that money is everything in life.,彼はお金が人生の全てだという考えを軽蔑した。
commencement,（名）開始、始まり,The ceremony marked the commencement of the international conference.,その式典は国際会議の開始を印した。
deteriorate,（動）（もの・状況・品質などが）悪化する,His health began to deteriorate after he stopped exercising.,運動をやめてから、彼の健康は悪化し始めた。
pathetic,（形）①（いらいらするほど）お粗末な、情けない ②哀れな,He made a pathetic attempt to hide the truth.,彼は真実を隠そうと情けない試みをした。
scrape,（動）〜をこする、こすって傷つける,She scraped the mud off her boots before entering the house.,彼女は家に入る前にブーツから泥をこすり落とした。
perimeter,（名）周囲［周辺］の長さ,A fence was built along the entire perimeter of the property.,その土地の周囲全体に沿ってフェンスが建てられた。
transcription,（名）文字起こし,A precise transcription of the recorded speech is required.,録音されたスピーチの正確な文字起こしが必要です。
chunk,（名）（パン・肉・木材などの）大きな塊,Learning vocabulary in chunks is more effective than learning single words.,単語を塊で覚えることは、単語単体で覚えるより効果的だ。
humble,（形）謙遜した、控えめな,"Despite his fame, the actor remained humble and kind to everyone.",名声にもかかわらず、その俳優は誰に対しても謙虚で親切だった。
simmer,（動）①ことこと煮える；〜をとろ火で煮る ②（暴力・怒りなどが）今にも爆発しそうである,Let the sauce simmer for a while to develop its flavor.,風味を出すために、ソースをしばらくことこと煮込みなさい。
monotonous,（形）単調な、変化のない,His daily work on the assembly line was very monotonous.,彼の組立ラインでの日々の仕事は、非常に単調だった。
swift,（形）迅速な、素早い,The government's swift response to the disaster was praised.,その災害に対する政府の迅速な対応は称賛された。
premature,（形）時期尚早の,It is premature to conclude that the new policy has failed.,その新しい政策が失敗したと結論づけるのは時期尚早だ。
infinite,（形）無限の、無数の,The universe contains an infinite number of stars and galaxies.,宇宙には無限の数の星や銀河が存在する。
deploy,（動）（部隊など）を展開させる、配置する,More troops were deployed to the border to maintain security.,安全を維持するため、より多くの部隊が国境に展開された。
sterile,（形）①不妊の、無精子の、繁殖力のない ②（土地が）不毛の ③無菌の、殺菌した,Medical instruments must be kept completely sterile before use.,医療器具は使用前に完全に無菌状態に保たれなければならない。
maze,（名）迷路、迷宮,The mouse ran through a maze which led to the cheese.,そのネズミはチーズへと続く迷路を走り抜けた。
dreary,（形）①陰うつな、物寂しい ②つまらない、退屈な,It was a dreary day with constant rain and gray skies.,絶え間ない雨と灰色の空の、陰うつな一日だった。
eject,（動）①〜を追い出す、追い払う ②〜を外に出す、排出する,The pilot had to eject from the damaged aircraft.,パイロットは損傷した航空機から脱出しなければならなかった。
fluent,（形）（外国語などが）流ちょうな,She wants to be more fluent in English than she is now.,彼女は今よりも英語が流ちょうになりたいと思っている。
disown,（動）〜を自分の所有物と認めない、〜との関係を否定する,He threatened to disown his son for marrying against his wishes.,彼は意に反して結婚した息子との縁を切ると脅した。
attendant,（名）係員、接客係,The flight attendant kindly offered me a blanket and a pillow.,客室乗務員は親切に毛布と枕を私に提供してくれた。
vigilant,（形）警戒を怠らない、用心深い,You should remain vigilant against online scams and suspicious emails.,ネット詐欺や不審なメールには警戒を怠らないようにすべきだ。
cumulative,（形）（効果・影響などが）しだいに増える,The cumulative effect of pollution is damaging our planet's health.,汚染の累積的な影響が、私たちの惑星の健康を損なっている。
enchant,（動）（人）を魅惑する、魅了する,The audience was enchanted by the beautiful music the orchestra played.,聴衆はオーケストラが演奏した美しい音楽に魅了された。
candid,（形）率直な、遠慮のない,"I appreciate your candid opinion, even if it is critical.",たとえ批判的であっても、あなたの率直な意見に感謝します。
jumble,（動）（ものが）ごちゃ混ぜになる、（考えが）混乱する,"My thoughts were jumbled, so I couldn't give a clear answer.",私の考えは混乱していて、明確な答えができなかった。
momentary,（形）瞬間の,There was a momentary silence before the crowd started cheering loudly.,群衆が大きな歓声を上げる前に、一瞬の静寂があった。
miniature,（形）小型の、縮小した,He collects miniature models of famous buildings from around the world.,彼は世界中の有名な建物のミニチュアモデルを集めている。
outpace,（動）〜より速く走る；〜より速く発展する,The growth of renewable energy is expected to outpace fossil fuels.,再生可能エネルギーの成長は、化石燃料を上回ると予想されている。
decline,（動）①減少する、低下する ②（〜を）断る （名）減少,The country's birthrate has been declining for the past few decades.,その国の出生率は過去数十年間にわたって減少し続けている。
reveal,（動）〜を明らかにする,The study revealed that lack of sleep affects our memory.,その研究は、睡眠不足が私たちの記憶に影響を与えることを明らかにした。
associate,（動）〜を関連づける、結びつける （形）補助の、副〜,The color red is often associated with feelings of passion and anger.,赤色はしばしば情熱や怒りの感情と関連づけられる。
confirm,（動）〜を確認する、裏づける,Please call the hotel to confirm your reservation for tomorrow.,明日の予約を確認するため、ホテルに電話をしてください。
renew,（動）①（免許・契約など）を更新する、継続する ②（休止していた行為など）を再開する,I need to renew my passport before I travel abroad next month.,来月海外旅行に行く前に、パスポートを更新する必要がある。
predict,（動）〜を予測する、予言する,It is difficult to predict exactly when the earthquake will occur.,いつ地震が起こるかを正確に予測することは難しい。
conflict,（名）対立、衝突、紛争 （動）対立する、矛盾する,Avoiding conflict with others is important for good relationships.,他人との対立を避けることは、良い関係にとって重要だ。
imply,（動）〜をほのめかす、暗に言う,His silence seemed to imply that he did not agree with the plan.,彼の沈黙は、その計画に同意していないことをほのめかしているようだった。
restrict,（動）〜を制限する、限定する,The new law will restrict the use of plastic bags in stores.,新しい法律は、店でのビニール袋の使用を制限するだろう。
circumstance,（名）状況、事情,Under no circumstances should you share your personal information online.,いかなる状況でも、オンラインで個人情報を共有すべきではない。
symptom,（名）（病気の）兆候、症状,I have had a cough and other cold symptoms since yesterday.,昨日から咳や他の風邪の症状があります。
regulate,（動）①〜を規制する、取り締まる ②〜を調整する,The government needs to regulate the amount of CO2 emissions.,政府は二酸化炭素排出量を規制する必要がある。
emphasize,（動）〜を強調する,The speaker emphasized that teamwork is the key to success.,講演者は、チームワークが成功の鍵だと強調した。
identify,（動）①〜を特定する ②〜を（…と）同一視する,Scientists are trying to identify the cause of the new disease.,科学者たちはその新しい病気の原因を特定しようとしている。
reliable,（形）①（人・ものが）信頼できる ②（情報が）確かな,We need more reliable information to make the right decision.,正しい決定を下すためには、より信頼できる情報が必要だ。
monitor,（動）〜を監視する （名）モニター、ディスプレー,A camera monitoring the entrance of the building was installed.,建物の入り口を監視するカメラが設置された。
update,（動）〜を改訂する、新しいものにする （名）最新情報,Please update the software on your computer for better security.,セキュリティ向上のため、コンピューターのソフトウェアを更新してください。
contrast,（動）対照を成す （名）対照,"In contrast to the city, the countryside is very quiet.",都市とは対照的に、田舎はとても静かだ。
appropriate,（形）適切な、ふさわしい,It is important to wear appropriate clothes for a job interview.,就職の面接には、適切な服装をすることが重要だ。
adapt,（動）①適応する ②〜を適応させる ③〜を改作する,Animals must adapt to their changing environment to survive.,動物は生き残るために、変化する環境に適応しなければならない。
genetic,（形）遺伝の、遺伝的な,"Some diseases are caused by genetic factors, not just lifestyle.",いくつかの病気は、生活習慣だけでなく遺伝的要因によって引き起こされる。
upgrade,（動）〜の性能［品質など］を上げる （名）性能［品質］の向上,My computer's memory was upgraded to improve its performance.,私のコンピューターのメモリは、性能を上げるためにアップグレードされた。
commit,（動）①（罪・過失など）を犯す ②取り組む、専念する,The company is committed to reducing its impact on the environment.,その会社は環境への影響を減らすことに熱心に取り組んでいる。
breed,（動）①〜を繁殖させる、飼育する ②繁殖する （名）品種,These dogs are specially bred for their gentle nature.,これらの犬は、その穏やかな性質のために特別に繁殖されている。
inspire,（動）①（人）を奮い立たせる ②（人）に着想を与える,She is an artist who inspires many young people.,彼女は多くの若者にインスピレーションを与える芸術家だ。
livestock,（名）家畜,The drought has had a serious effect on livestock farming.,干ばつは家畜の飼育に深刻な影響を与えている。
exposure,（名）①（日光・風雨・危険などに）さらされること ②（メディアへの）露出,Too much exposure to the sun can be harmful to your skin.,日光に過度にさらされることは、肌に有害な場合がある。
surrounding,（形）周囲の、周辺の,The hotel is popular for its beautiful surrounding scenery.,そのホテルは、その美しい周囲の景色で人気がある。
secure,（形）安全な、守られた （動）〜を確保する,He worked hard to secure a stable job for his family.,彼は家族のために安定した仕事を確保しようと懸命に働いた。
federal,（形）連邦の、連邦政府の,The federal government announced new environmental policies.,連邦政府は新しい環境政策を発表した。
commute,（名）通勤 （動）通勤する,Many people commute to work by train in large cities.,大都市では多くの人々が電車で通勤している。
aggressive,（形）①攻撃的な ②（人・態度などが）積極的な,An aggressive marketing strategy is necessary for our new product.,我々の新製品には積極的なマーケティング戦略が必要だ。
sufficient,（形）十分な,We don't have sufficient evidence to prove his guilt.,彼の有罪を証明するのに十分な証拠がない。
settlement,（名）①入植、定住 ②居住地、集落 ③解決、和解,The ancient settlement was discovered near the river.,その古代の集落は川の近くで発見された。
emerge,（動）出現する、姿を現す,New problems have emerged with the spread of the internet.,インターネットの普及とともに新たな問題が出現した。
sophisticated,（形）洗練された、（技術などが）精巧な,This robot has a sophisticated system controlling its movements.,このロボットは動きを制御する精巧なシステムを持っている。
undergo,（動）①（試練・変化など）を経験する ②（手術・試験など）を受ける,The city will undergo massive redevelopment over the next decade.,その都市は今後10年で大規模な再開発を経験するだろう。
revenue,（名）収入、歳入,The company's annual revenue increased by 10 percent last year.,その会社の年間収益は昨年10パーセント増加した。
disorder,（名）①（心身の）障害 ②無秩序,"He suffers from a sleep disorder, which makes him tired.",彼は睡眠障害に苦しんでおり、そのせいで疲れている。
relevant,（形）（当面の問題に）関連のある、適切な,Please provide only the information relevant to this case.,この件に関連のある情報のみを提供してください。
overlook,（動）①〜を見落とす、見過ごす ②〜を見下ろす、見渡す ③〜を大目に見る,I'm afraid I might have overlooked an important detail.,重要な詳細を見落としてしまったかもしれないと心配だ。
negotiate,（動）①交渉する、協議する ②〜を交渉して取り決める,The two countries are trying to negotiate a peace treaty.,両国は平和条約を交渉しようと試みている。
inhabitant,（名）住民、住人、生息動物,Most of the island's inhabitants work in the tourism industry.,その島の住民のほとんどは観光業で働いている。
prohibit,（動）①（法・規則などが）〜を禁止する ②（物事が）〜を妨げる,A new law prohibits people from smoking in public places.,新しい法律は人々が公共の場所で喫煙することを禁じている。
witness,（動）〜を目撃する （名）①目撃者 ②証人,She was the only person who witnessed the accident.,彼女はその事故を目撃した唯一の人物だった。
likelihood,（名）可能性,There is a high likelihood of heavy rain tomorrow.,明日は大雨になる可能性が高い。
vital,（形）①極めて重要な ②生命維持に不可欠な,It is vital that we take action to protect the environment.,環境を守るため我々が行動することが極めて重要だ。
proponent,（名）（主義・方針などの）擁護者、支持者,He is a leading proponent of renewable energy sources.,彼は再生可能エネルギー源の主導的な支持者だ。
dump,（動）①（ごみなど）を捨てる ②（人）を見捨てる、振る （名）ごみの山、ごみ捨て場,It is illegal to dump industrial waste into the river.,産業廃棄物を川に捨てることは違法である。
refund,（名）払い戻し、返金 （動）〜を払い戻す、返済する,"If you are not satisfied, you can get a full refund.",もしご満足いただけない場合は、全額返金を受けることができます。
scan,（動）①（人体など）を走査する、スキャンする ②〜を入念に調べる （名）走査、スキャン,The doctor decided to scan the patient's brain for problems.,医師は問題がないか患者の脳をスキャンすることに決めた。
stimulate,（動）①（器官など）を刺激する、活性化する ②（活動・感情など）を活気づける,The new policy is designed to stimulate economic growth.,その新政策は経済成長を刺激するように意図されている。
context,（名）①状況・前後関係 ②文脈,You should consider the historical context of the event.,あなたはその出来事の歴史的な背景を考慮すべきだ。
massive,（形）（規模・量などが）大きい,A massive earthquake caused serious damage to the city.,巨大な地震がその都市に深刻な被害をもたらした。
reproduce,（動）①繁殖する；〜を繁殖させる ②〜を再現する,Some animals can reproduce very quickly in a short period.,短期間に非常に速く繁殖できる動物もいる。
council,（名）（地方自治体の）議会,The city council approved the plan which supports local businesses.,市議会は地元企業を支援するその計画を承認した。
lobby,（動）議員に働きかける、ロビー活動をする （名）（ホテル・劇場などの）ロビー,Citizens will lobby the government to change the new law.,市民たちは新法を変えるよう政府に働きかけるだろう。
inject,（動）（薬など）を注射する、注入する,The patient was injected with a new vaccine for the virus.,その患者はそのウイルスのための新しいワクチンを注射された。
remarkable,（形）注目すべき、並外れた,The scientist made a remarkable discovery that could change our lives.,その科学者は私たちの生活を変えうる注目すべき発見をした。
infrastructure,（名）インフラ、社会基盤設備,The government needs to invest more money in public infrastructure.,政府は公共インフラにもっと多くのお金を投資する必要がある。
extract,（動）①（別の物質から）（物質）を抽出する、採取する ②（情報など）を聞き出す,They use a special method to extract oil from the plants.,彼らはその植物から油を抽出するために特別な方法を使う。
plot,（動）〜を企む （名）①（物語などの）筋 ②（土地の）区画,They were secretly plotting to overthrow the powerful king.,彼らはその権力のある王を打倒しようとひそかに企んでいた。
innovation,（名）革新、（新しい事物の）導入,Technological innovation has led to significant changes in our society.,技術革新は私たちの社会に大きな変化をもたらした。
distinct,（形）①別個の、独特な、まったく異なる ②明瞭な、明確な,Each region of the country has its own distinct culture.,その国の各地域には、それ自身の独特な文化がある。
extinct,（形）絶滅した,"If dinosaurs were not extinct, our world would be very different.",もし恐竜が絶滅していなかったら、私たちの世界は全く違うものだろう。
personnel,（名）①人事部、人事課 ②（官庁・会社の）職員,All new personnel have been trained for their specific roles.,すべての新入職員は、それぞれの特定の役割のために訓練を受けてきた。
shallow,（形）浅い,The shallow end of the pool is safer for children than the deep end.,プールの浅い側は、深い側よりも子供にとって安全だ。
portion,（名）①部分、一部分 ②（食べ物の）一人前,A large portion of the budget has been allocated to education.,予算の大部分が教育に割り当てられてきた。
advocate,（名）提唱者、主張者 （動）〜を提唱する、主張する,Many groups advocate using renewable energy instead of fossil fuels.,多くの団体が、化石燃料の代わりに再生可能エネルギーを使うことを提唱している。
vessel,（名）①（大型の）船、船舶 ②血管,"The large vessel, carrying thousands of containers, arrived at the port.",何千ものコンテナを積んだその大型船は、港に到着した。
crawl,（動）①はう、腹ばいで進む ②（肌が）むずむずする、ぞっとする （名）徐行、のろのろ進むこと,My baby has just started to crawl across the living room floor.,私の赤ちゃんは、リビングの床をはい始めたばかりです。
era,（名）時代、時期、〜時代,The 21st century is known as the era of information technology.,21世紀は情報技術の時代として知られている。
drain,（名）①排水管［口］、排水設備 ②（人材・資本などの）流出 （動）〜の排水をする,The swamp was drained to create more land for farming.,その沼地は、農地をより多く作るために排水された。
motive,（名）動機,The police are still investigating what the suspect's motive was.,警察は容疑者の動機が何だったのかをまだ調査している。
remedy,（名）①薬、治療 ②（問題に対する）解決策,There is no simple remedy for the complex problem of poverty.,貧困という複雑な問題に対する簡単な解決策はない。
rivalry,（名）競争、争い,The rivalry between the two companies is getting more intense.,その2社間の競争はますます激しくなっている。
fraction,（名）ごく一部,Only a small fraction of the sunlight reaches the deep sea.,太陽光のごく一部しか深海には届かない。
minimal,（形）最小限の、最低限の,He lives a simple life with only minimal possessions.,彼は最小限の所持品だけで質素な生活を送っている。
grain,（名）穀物、穀類,This type of grain is widely grown in Asian countries.,この種の穀物はアジアの国々で広く栽培されている。
legitimate,（形）①合法的な ②理にかなった、正当な,It is a legitimate concern to worry about future climate change.,将来の気候変動を心配するのは、正当な懸念である。
revise,（動）〜を修正する、改訂する,I need to revise my essay before the deadline.,締め切り前に小論文を修正する必要がある。
activate,（動）①〜を活性化する ②（機能・ライセンスなど）を有効にする,This special chemical is activated by light.,この特殊な化学物質は光によって活性化される。
abuse,（名）①乱用、不正使用 ②虐待 （動）①〜を乱用する ②〜を虐待する,We must prevent the abuse of power by politicians.,私たちは政治家による権力の乱用を防がなければならない。
celebrity,（名）有名人,I saw a celebrity who was wearing sunglasses.,私はサングラスをかけている有名人を見かけた。
recession,（名）（一時的な）不景気、不況,"Facing a recession, many companies reduced their staff.",不況に直面し、多くの企業が従業員を削減した。
vomit,（動）吐く、嘔吐する （名）嘔吐（物）,"After eating the spoiled food, I felt like vomiting.",腐った食べ物を食べた後、吐き気がした。
