word,meaning
dispel,（動）（不安・恐怖など）を払いのける
diverge,（動）①（コースなどから）それる；（道・線路などが）分岐する ②（意見・関心などが）分かれる、異なる
condiment,（名）調味料、香辛料、薬味
noble,（形）崇高な、気高い
futile,（形）無益な、無駄な
saturate,（動）①〜を濡らす、浸す ②（場所・物体など）をいっぱいにする
eradicate,（動）（病気・社会問題・害虫など）を根絶する、撲滅する
overlap,（動）重なり合う、一部が重複する
muddle,（動）①〜をごちゃ混ぜにする、混同する ②（思考など）を混乱させる
reckon,（動）①…と思う、推測する ②〜をざっと数える、計算する
ingest,（動）（食品・薬品など）を摂取する
reminiscent,（形）連想させる、思い出させる
budget,（名）予算
overall,（形）全体の、総合的な
illegal,（形）違法の、非合法の
potential,（形）（将来的に）可能性のある、見込みのある
ban,（動）〜を禁止する
alternative,（形）別の、代わりとなる
address,（動）①（問題など）に取り組む ②〜に向けて演説する
widespread,（形）広範囲にわたる、普及している
consume,（動）①〜を食べる、摂取する ②〜を消費する
property,（名）①財産、所有物 ②不動産、土地 ③特性
absorb,（動）〜を吸収する
facility,（名）設備、施設
invest,（動）（〜を）投資する
relatively,（副）比較的
long-term,（形）長期の
analyze,（動）〜を分析する
medication,（名）薬、薬物（治療）
regarding,（前）〜に関しての、〜についての
beneficial,（形）有益な、役に立つ
colleague,（名）同僚
efficient,（形）効率のよい
register,（動）（〜を）登録する
promotion,（名）①昇進 ②（販売）促進
shift,（動）〜を転換する、移す
numerous,（形）多数の、多くの
candidate,（名）候補者
criticism,（名）批評、批判
guarantee,（動）〜を保証する
consequently,（副）その結果、したがって
agricultural,（形）農業の
reduction,（名）減少；割引；削減
requirement,（名）①必要条件 ②必要なもの、必需品
enormous,（形）巨大な、莫大な
session,（名）①会合、集会 ②（ある活動を行う）時間、期間 ③学期、授業時間
affordable,（形）手ごろな価格の、安価な
lessen,（動）①〜を少なくする、減らす ②減少する、減る
insurance,（名）保険
oppose,（動）〜に反対する
deposit,（名）①預金、預け入れ ②保証金、手付金 ③堆積物
costly,（形）費用のかかる、高価な
domestic,（形）①国内の ②家庭の ③人に飼われている
detect,（動）〜を検出する、発見する
awareness,（名）意識、認知
strategy,（名）戦略、方策
priority,（名）①優先事項 ②優先（権）
representative,（名）①（客に対応する）販売員、担当者 ②代表者
outcome,（名）結果、成果
preserve,（動）①〜を保存する、保護する ②（水準など）を保つ、維持する
luxury,（名）①豪華さ、ぜいたく ②ぜいたく品
reminder,（名）思い出させるもの、注意、メモ
manufacture,（動）〜を製造する
extend,（動）①（影響・支配などが）及ぶ；（影響・支配など）を拡大する ②（土地などが）広がる ③（期間が）延びる；（期間）を延ばす
qualified,（形）資格のある、適任の、能力のある
fossil,（名）化石
corporation,（名）①企業、株式会社 ②法人
mine,（名）①鉱山 ②地雷
artificial,（形）人工の、人工的な
landscape,（名）①（一目で見渡せる陸地の）風景、景観 ②（政治的・社会的）情勢、状況
minimum,（形）最小限の、最低限の
executive,（名）経営幹部、重役
characteristic,（名）特徴、特色
immune,（形）免疫のある
worsen,（動）①悪化する ②〜を悪化させる
prey,（名）えじき、獲物
applicant,（名）応募者
toxic,（形）毒性のある、有毒な
intense,（形）①（感情・運動などが）激しい ②（熱・光などが）強烈な
productivity,（名）生産性
relocate,（動）移転する、移住する；〜を移転［移住］させる
divorce,（名）離婚
nonetheless,（副）それにもかかわらず
clue,（名）（問題などを解く）手がかり、糸口
warehouse,（名）倉庫
substantial,（形）相当な、かなりの
temporary,（形）一時的な、臨時の
supervise,（動）（人・作業など）を監督する、管理する
subject,（名）①被験者 ②主題、テーマ
participation,（名）参加、加入、関与
sensitive,（形）①敏感な、影響を受けやすい ②微妙な、細心の注意を要する
pottery,（名）①陶器類 ②陶芸
overcome,（動）①（困難など）を乗り越える、克服する ②〜を圧倒する
removal,（名）（不要なものの）除去、撤去、摘出
crisis,（名）危機
statistics,（名）統計
engage,（動）従事する、携わる
opponent,（名）①（試合などの）相手、対戦者 ②（計画・考えなどに対する）反対者
competitive,（形）①競争の、競技の；競争の激しい ②（価格などが）競争力のある
shrink,（動）縮む、縮小する
intake,（名）（食べ物などの）摂取（量）
ongoing,（形）進行中の、継続している
inspection,（名）①検査、点検 ②立入検査、査察
problematic,（形）問題のある、解決の難しい
forbid,（動）（権威者・法などが）〜を禁じる、許さない
finance,（名）①資金、財源 ②財政、金融
theft,（名）盗み、窃盗
primarily,（副）主として、第一に
contribution,（名）①貢献、寄与 ②寄付（金）、寄贈（品）
protective,（形）①保護する、保護用の ②かばう、守る
uncover,（動）①〜を発掘する、発見する ②〜を暴露する、明らかにする
existence,（名）存在
possession,（名）①所有物 ②所有、占有
alert,（形）警戒した、油断のない
hybrid,（名）①混成種 ②ハイブリッド車
isolate,（動）〜を分離する、孤立させる
reference,（名）①参照、参考 ②言及 ③推薦状
storage,（名）保管、貯蔵；保管スペース
impressive,（形）印象的な、深い感銘を与える
wilderness,（名）荒野、手つかずの自然
ultimately,（副）①究極的には、結局のところ ②結局、最終的に
satellite,（名）①人工衛星 ②（天体の）衛星
